iter	RMSE
0	0.5304299165
1	0.505311087
2	0.4816252139
3	0.4596824403
4	0.4382179861
5	0.4180842282
6	0.3992730463
7	0.3817464368
8	0.3659734812
9	0.3513482011
10	0.3371183117
11	0.3247552812
12	0.313036035
13	0.3018061465
14	0.2911383823
15	0.2812816434
16	0.2723743769
17	0.2639125039
18	0.2564223329
19	0.249469931
20	0.243057811
21	0.2367696556
22	0.2310809024
23	0.225886109
24	0.2210586484
25	0.2166985831
26	0.2124837621
27	0.2084796285
28	0.2048909479
29	0.2017481492
30	0.1988345467
31	0.1961192106
32	0.1935109973
33	0.1910344476
34	0.1888234006
35	0.1868358312
36	0.1846147601
37	0.1828463634
38	0.1809812711
39	0.1798600136
40	0.1785888576
41	0.177688179
42	0.1761542034
43	0.174746114
44	0.1735474177
45	0.1726733742
46	0.1716680336
47	0.1707895124
48	0.1696941434
49	0.1691376113
50	0.1681949142
51	0.1675831787
52	0.1670150525
53	0.1663964032
54	0.1654209569
55	0.1646953827
56	0.1640517353
57	0.163457877
58	0.162857092
59	0.1625066815
60	0.161887754
61	0.1612502821
62	0.1605842373
63	0.1600812479
64	0.15961822
65	0.159221376
66	0.1587435718
67	0.158116853
68	0.1577470819
69	0.1573112133
70	0.1570745116
71	0.15684606
72	0.1564281339
73	0.1560468283
74	0.1557728057
75	0.1555467117
76	0.1552598811
77	0.1550469108
78	0.1546967788
79	0.154549798
80	0.1542424721
81	0.1539934853
82	0.1534299233
83	0.1532574789
84	0.1529592791
85	0.1526168209
86	0.1524586289
87	0.1521656275
88	0.1518875488
89	0.1518009184
90	0.1516122537
91	0.1514575185
92	0.1512438168
93	0.1509107282
94	0.1505908396
95	0.1502926712
96	0.1501475445
97	0.1500081355
98	0.1496930109
99	0.1495303025
100	0.1493116358
101	0.1491670234
102	0.1490743844
103	0.1489312702
104	0.1486887009
105	0.1486103384
106	0.1484111034
107	0.1482015349
108	0.1480513375
109	0.1476374268
110	0.1475712909
111	0.1474889857
112	0.1472946919
113	0.1471344902
114	0.1470953941
