iter	Passed	Remaining
0	3	3205
1	5	2956
2	8	2817
3	10	2730
4	13	2699
5	16	2735
6	19	2720
7	21	2693
8	24	2663
9	26	2644
10	29	2667
11	32	2662
12	34	2654
13	37	2649
14	40	2643
15	43	2645
16	45	2655
17	48	2648
18	51	2646
19	53	2636
20	56	2636
21	59	2626
22	61	2627
23	64	2625
24	67	2622
25	69	2613
26	72	2600
27	74	2587
28	77	2586
29	80	2593
30	82	2589
31	85	2578
32	87	2575
33	90	2575
34	93	2570
35	95	2569
36	98	2568
37	101	2567
38	104	2566
39	106	2558
40	109	2563
41	112	2572
42	115	2571
43	118	2567
44	120	2561
45	123	2552
46	126	2567
47	129	2563
48	131	2561
49	134	2554
50	136	2545
51	139	2537
52	142	2550
53	145	2552
54	148	2547
55	150	2540
56	153	2535
57	155	2533
58	158	2529
59	161	2524
60	163	2519
61	166	2512
62	168	2508
63	171	2507
64	174	2507
65	176	2501
66	179	2495
67	181	2488
68	184	2485
69	187	2487
70	189	2484
71	192	2482
72	195	2480
73	197	2474
74	200	2475
75	203	2476
76	206	2477
77	209	2474
78	211	2470
79	214	2465
80	216	2460
81	219	2457
82	222	2454
83	224	2451
84	227	2448
85	230	2449
86	232	2444
87	235	2443
88	238	2438
89	240	2433
90	243	2428
91	245	2422
92	248	2420
93	251	2420
94	253	2418
95	256	2413
96	258	2409
97	261	2403
98	263	2398
99	266	2394
100	268	2392
101	271	2389
102	273	2383
103	276	2378
104	278	2374
105	281	2370
106	284	2371
107	286	2369
108	289	2366
109	292	2363
110	294	2357
111	296	2352
112	299	2352
113	302	2351
114	304	2346
115	307	2341
116	309	2336
117	311	2331
118	314	2330
119	317	2330
120	320	2325
121	322	2321
122	324	2316
123	327	2312
124	329	2309
125	332	2307
126	335	2304
127	337	2301
128	340	2298
129	343	2297
130	346	2297
131	348	2292
132	351	2288
133	353	2285
134	356	2282
135	358	2277
136	361	2275
137	363	2271
138	366	2268
139	368	2263
140	370	2260
141	373	2257
142	377	2261
143	380	2261
144	382	2258
145	385	2254
146	388	2251
147	390	2249
148	394	2253
149	397	2250
150	400	2249
151	402	2246
152	405	2242
153	407	2240
154	410	2237
155	413	2235
156	415	2232
157	418	2229
158	420	2226
159	423	2223
160	426	2222
161	429	2219
162	431	2215
163	433	2210
164	436	2208
165	438	2205
166	441	2203
167	444	2199
168	446	2196
169	449	2193
170	451	2190
171	454	2187
172	457	2186
173	459	2183
174	462	2179
175	465	2177
176	467	2173
177	470	2170
178	473	2170
179	475	2167
180	478	2164
181	482	2170
182	485	2167
183	488	2166
184	490	2162
185	493	2160
186	496	2157
187	498	2151
188	500	2147
189	503	2146
190	506	2143
191	508	2141
192	511	2138
193	513	2134
194	516	2131
195	519	2130
196	521	2127
197	524	2124
198	527	2122
199	529	2119
200	532	2115
201	535	2113
202	537	2112
203	540	2110
204	543	2109
205	545	2103
206	549	2103
207	552	2103
208	555	2101
209	557	2097
210	559	2093
211	562	2089
212	564	2087
213	568	2087
214	570	2084
215	573	2080
216	575	2077
217	578	2073
218	580	2070
219	583	2068
220	585	2065
221	588	2063
222	591	2060
223	594	2057
224	598	2060
225	600	2057
226	603	2055
227	605	2051
228	608	2048
229	610	2044
230	614	2044
231	616	2041
232	619	2038
233	621	2035
234	624	2032
235	626	2029
236	629	2028
237	632	2025
238	635	2022
239	637	2018
240	639	2015
241	642	2012
242	645	2010
243	647	2007
244	650	2005
245	653	2002
246	655	1999
247	658	1995
248	661	1993
249	663	1991
250	666	1987
251	668	1984
252	670	1980
253	673	1977
254	676	1976
255	678	1973
256	681	1970
257	684	1967
258	686	1964
259	689	1961
260	692	1959
261	694	1956
262	697	1953
263	699	1950
264	702	1947
265	704	1943
266	707	1941
267	709	1939
268	712	1935
269	715	1933
270	718	1931
271	720	1928
272	723	1927
273	726	1924
274	728	1921
275	731	1919
276	734	1916
277	736	1912
278	739	1910
279	742	1908
280	744	1905
281	747	1903
282	750	1900
283	752	1896
284	755	1896
285	759	1894
286	761	1892
287	763	1888
288	766	1885
289	769	1882
290	771	1880
291	774	1878
292	777	1875
293	779	1872
294	782	1869
295	784	1865
296	787	1865
297	790	1863
298	793	1860
299	796	1857
300	798	1854
301	801	1852
302	804	1849
303	806	1847
304	809	1843
305	811	1840
306	813	1837
307	816	1835
308	819	1832
309	822	1829
310	824	1826
311	826	1823
312	829	1819
313	831	1817
314	834	1815
315	837	1813
316	840	1809
317	842	1806
318	844	1803
319	847	1800
320	850	1798
321	852	1795
322	854	1791
323	857	1789
324	860	1786
325	862	1783
326	865	1782
327	868	1779
328	871	1776
329	873	1773
330	876	1771
331	879	1768
332	881	1766
333	884	1763
334	886	1760
335	889	1757
336	892	1754
337	894	1751
338	897	1749
339	900	1747
340	902	1744
341	904	1741
342	907	1738
343	909	1735
344	912	1732
345	915	1729
346	917	1726
347	919	1723
348	922	1720
349	924	1717
350	927	1714
351	929	1712
352	932	1709
353	935	1706
354	937	1703
355	939	1700
356	942	1697
357	945	1694
358	947	1692
359	950	1689
360	952	1686
361	954	1683
362	958	1681
363	961	1679
364	963	1676
365	966	1674
366	968	1671
367	971	1668
368	974	1666
369	977	1665
370	980	1662
371	982	1659
372	985	1656
373	988	1655
374	992	1654
375	996	1654
376	1000	1653
377	1003	1651
378	1007	1651
379	1010	1648
380	1013	1646
381	1016	1643
382	1018	1641
383	1022	1639
384	1024	1637
385	1027	1634
386	1029	1631
387	1032	1628
388	1035	1625
389	1038	1624
390	1040	1621
391	1043	1618
392	1046	1615
393	1048	1612
394	1051	1609
395	1054	1607
396	1056	1605
397	1059	1602
398	1061	1599
399	1064	1596
400	1066	1593
401	1070	1591
402	1073	1589
403	1075	1586
404	1078	1584
405	1081	1581
406	1083	1578
407	1086	1576
408	1088	1573
409	1091	1570
410	1094	1568
411	1096	1565
412	1099	1562
413	1101	1559
414	1104	1556
415	1106	1553
416	1109	1550
417	1111	1547
418	1114	1544
419	1116	1542
420	1119	1539
421	1121	1536
422	1124	1534
423	1127	1531
424	1130	1528
425	1132	1526
426	1135	1523
427	1138	1521
428	1140	1518
429	1143	1515
430	1145	1512
431	1148	1509
432	1150	1507
433	1154	1505
434	1156	1502
435	1159	1499
436	1162	1497
437	1165	1495
438	1167	1492
439	1170	1489
440	1172	1486
441	1174	1483
442	1177	1480
443	1180	1478
444	1184	1476
445	1186	1473
446	1189	1471
447	1191	1468
448	1194	1465
449	1197	1463
450	1200	1461
451	1203	1458
452	1205	1455
453	1208	1452
454	1210	1450
455	1213	1447
456	1216	1445
457	1218	1442
458	1221	1439
459	1223	1436
460	1227	1434
461	1229	1432
462	1232	1429
463	1235	1427
464	1237	1424
465	1240	1421
466	1243	1419
467	1246	1417
468	1249	1414
469	1251	1411
470	1254	1409
471	1257	1406
472	1260	1404
473	1262	1401
474	1265	1398
475	1268	1396
476	1270	1393
477	1273	1390
478	1276	1388
479	1279	1386
480	1282	1383
481	1285	1382
482	1289	1380
483	1292	1378
484	1296	1376
485	1298	1373
486	1301	1371
487	1304	1368
488	1308	1366
489	1311	1364
490	1313	1362
491	1316	1359
492	1319	1356
493	1322	1354
494	1325	1352
495	1327	1349
496	1330	1346
497	1332	1343
498	1335	1340
499	1338	1338
500	1341	1335
501	1344	1333
502	1346	1330
503	1349	1327
504	1352	1325
505	1355	1323
506	1358	1320
507	1361	1318
508	1363	1315
509	1366	1312
510	1369	1310
511	1371	1307
512	1374	1304
513	1377	1302
514	1379	1299
515	1382	1296
516	1385	1294
517	1388	1292
518	1391	1289
519	1393	1286
520	1396	1283
521	1399	1281
522	1403	1279
523	1406	1277
524	1409	1275
525	1412	1272
526	1416	1270
527	1419	1268
528	1422	1266
529	1425	1263
530	1427	1260
531	1431	1258
532	1434	1256
533	1436	1253
534	1439	1250
535	1441	1248
536	1444	1245
537	1447	1243
538	1450	1240
539	1453	1237
540	1455	1234
541	1457	1231
542	1460	1229
543	1464	1227
544	1468	1225
545	1470	1222
546	1473	1220
547	1476	1217
548	1479	1215
549	1483	1213
550	1485	1210
551	1488	1207
552	1490	1205
553	1493	1202
554	1496	1200
555	1499	1197
556	1502	1194
557	1504	1192
558	1507	1189
559	1510	1187
560	1513	1184
561	1516	1181
562	1518	1178
563	1521	1176
564	1524	1173
565	1527	1171
566	1530	1168
567	1532	1165
568	1535	1163
569	1537	1160
570	1540	1157
571	1543	1155
572	1546	1152
573	1549	1150
574	1552	1147
575	1555	1144
576	1558	1142
577	1561	1140
578	1564	1137
579	1566	1134
580	1569	1131
581	1573	1129
582	1575	1127
583	1578	1124
584	1581	1121
585	1583	1118
586	1587	1117
587	1591	1114
588	1594	1112
589	1596	1109
590	1600	1107
591	1604	1105
592	1607	1102
593	1610	1100
594	1613	1098
595	1616	1095
596	1619	1093
597	1622	1090
598	1624	1087
599	1627	1084
600	1630	1082
601	1632	1079
602	1636	1077
603	1639	1074
604	1641	1071
605	1644	1068
606	1646	1066
607	1649	1063
608	1652	1061
609	1655	1058
610	1658	1055
611	1661	1053
612	1663	1050
613	1667	1048
614	1669	1045
615	1672	1042
616	1675	1040
617	1677	1037
618	1680	1034
619	1684	1032
620	1687	1029
621	1689	1026
622	1692	1024
623	1695	1021
624	1698	1019
625	1701	1016
626	1704	1014
627	1707	1011
628	1709	1008
629	1713	1006
630	1716	1003
631	1719	1001
632	1722	998
633	1725	995
634	1727	993
635	1730	990
636	1733	987
637	1736	985
638	1738	982
639	1741	979
640	1744	976
641	1748	975
642	1751	972
643	1753	969
644	1756	966
645	1761	965
646	1764	962
647	1768	960
648	1771	957
649	1774	955
650	1777	953
651	1781	950
652	1783	947
653	1786	945
654	1789	942
655	1792	939
656	1795	937
657	1797	934
658	1800	931
659	1802	928
660	1805	926
661	1808	923
662	1811	920
663	1814	918
664	1817	915
665	1819	912
666	1822	909
667	1825	907
668	1828	904
669	1830	901
670	1833	898
671	1835	895
672	1838	893
673	1841	890
674	1843	887
675	1846	885
676	1849	882
677	1851	879
678	1854	876
679	1857	873
680	1859	871
681	1862	868
682	1865	865
683	1867	862
684	1870	860
685	1873	857
686	1876	854
687	1878	851
688	1881	849
689	1883	846
690	1886	843
691	1888	840
692	1891	838
693	1894	835
694	1897	832
695	1899	829
696	1902	827
697	1905	824
698	1907	821
699	1910	818
700	1913	816
701	1916	813
702	1919	810
703	1922	808
704	1924	805
705	1927	802
706	1929	799
707	1931	796
708	1935	794
709	1938	791
710	1940	788
711	1942	785
712	1945	783
713	1947	780
714	1950	777
715	1953	774
716	1955	771
717	1958	769
718	1960	766
719	1963	763
720	1966	760
721	1968	758
722	1971	755
723	1973	752
724	1975	749
725	1978	746
726	1981	743
727	1983	741
728	1986	738
729	1988	735
730	1991	732
731	1993	729
732	1997	727
733	2000	725
734	2003	722
735	2005	719
736	2008	716
737	2010	713
738	2013	711
739	2016	708
740	2018	705
741	2021	702
742	2023	699
743	2026	697
744	2029	694
745	2032	692
746	2035	689
747	2037	686
748	2039	683
749	2041	680
750	2045	678
751	2047	675
752	2050	672
753	2052	669
754	2055	667
755	2058	664
756	2060	661
757	2063	658
758	2065	655
759	2067	653
760	2070	650
761	2072	647
762	2075	644
763	2078	641
764	2080	639
765	2083	636
766	2085	633
767	2087	630
768	2090	627
769	2093	625
770	2095	622
771	2098	619
772	2100	616
773	2103	614
774	2106	611
775	2108	608
776	2111	605
777	2113	603
778	2116	600
779	2118	597
780	2121	594
781	2124	592
782	2126	589
783	2129	586
784	2131	583
785	2133	580
786	2136	578
787	2139	575
788	2142	572
789	2144	570
790	2146	567
791	2149	564
792	2151	561
793	2154	559
794	2157	556
795	2159	553
796	2162	550
797	2164	547
798	2166	545
799	2169	542
800	2172	539
801	2175	536
802	2177	534
803	2179	531
804	2182	528
805	2185	526
806	2188	523
807	2190	520
808	2193	517
809	2195	514
810	2197	512
811	2201	509
812	2204	507
813	2207	504
814	2209	501
815	2212	498
816	2214	496
817	2217	493
818	2220	490
819	2222	487
820	2224	485
821	2227	482
822	2229	479
823	2232	476
824	2235	474
825	2237	471
826	2240	468
827	2243	465
828	2246	463
829	2249	460
830	2252	458
831	2254	455
832	2257	452
833	2260	449
834	2263	447
835	2268	444
836	2272	442
837	2274	439
838	2277	437
839	2281	434
840	2284	431
841	2287	429
842	2289	426
843	2292	423
844	2295	421
845	2298	418
846	2301	415
847	2304	412
848	2306	410
849	2309	407
850	2312	404
851	2315	402
852	2318	399
853	2320	396
854	2323	393
855	2325	391
856	2329	388
857	2331	385
858	2334	383
859	2336	380
860	2339	377
861	2342	375
862	2345	372
863	2348	369
864	2350	366
865	2353	364
866	2356	361
867	2360	358
868	2362	356
869	2367	353
870	2370	351
871	2374	348
872	2377	345
873	2380	343
874	2383	340
875	2385	337
876	2389	335
877	2392	332
878	2395	329
879	2397	326
880	2400	324
881	2402	321
882	2406	318
883	2409	316
884	2412	313
885	2414	310
886	2416	307
887	2419	305
888	2422	302
889	2424	299
890	2427	296
891	2429	294
892	2432	291
893	2435	288
894	2437	286
895	2440	283
896	2442	280
897	2445	277
898	2448	275
899	2450	272
900	2453	269
901	2455	266
902	2458	264
903	2460	261
904	2463	258
905	2465	255
906	2468	253
907	2471	250
908	2474	247
909	2476	244
910	2479	242
911	2482	239
912	2485	236
913	2488	234
914	2491	231
915	2493	228
916	2496	225
917	2499	223
918	2502	220
919	2505	217
920	2508	215
921	2510	212
922	2513	209
923	2517	207
924	2520	204
925	2522	201
926	2525	198
927	2527	196
928	2531	193
929	2534	190
930	2537	188
931	2539	185
932	2542	182
933	2545	179
934	2548	177
935	2551	174
936	2554	171
937	2556	168
938	2559	166
939	2562	163
940	2565	160
941	2568	158
942	2570	155
943	2573	152
944	2576	149
945	2579	147
946	2582	144
947	2585	141
948	2588	139
949	2590	136
950	2594	133
951	2598	130
952	2600	128
953	2603	125
954	2606	122
955	2609	120
956	2612	117
957	2615	114
958	2618	111
959	2620	109
960	2624	106
961	2627	103
962	2630	101
963	2632	98
964	2635	95
965	2638	92
966	2641	90
967	2644	87
968	2646	84
969	2649	81
970	2652	79
971	2657	76
972	2660	73
973	2662	71
974	2665	68
975	2667	65
976	2671	62
977	2675	60
978	2678	57
979	2680	54
980	2683	51
981	2686	49
982	2689	46
983	2692	43
984	2695	41
985	2697	38
986	2700	35
987	2704	32
988	2708	30
989	2710	27
990	2713	24
991	2716	21
992	2720	19
993	2723	16
994	2725	13
995	2728	10
996	2731	8
997	2734	5
998	2737	2
999	2740	0
