iter	RMSE
0	58.78763142
1	55.63307513
2	52.66719715
3	49.84229885
4	47.25001174
5	44.72959646
6	42.36824255
7	40.08436729
8	37.98646227
9	36.02106417
10	34.1275729
11	32.44693021
12	30.79387721
13	29.22731719
14	27.76143278
15	26.3495847
16	25.02333315
17	23.80114996
18	22.63415708
19	21.54982143
20	20.54890711
21	19.58375684
22	18.66214298
23	17.79007641
24	16.93880763
25	16.18263156
26	15.45795001
27	14.80289363
28	14.1616797
29	13.57000287
30	13.00024819
31	12.44995574
32	11.90423731
33	11.42410734
34	10.99458269
35	10.55070842
36	10.12657299
37	9.754325546
38	9.371447481
39	9.052137039
40	8.716214795
41	8.389500571
42	8.117831273
43	7.854876644
44	7.5821816
45	7.336973431
46	7.116434111
47	6.886595105
48	6.692656507
49	6.489360186
50	6.30687468
51	6.121584865
52	5.960224418
53	5.803603769
54	5.65691008
55	5.522376002
56	5.381798144
57	5.251141329
58	5.128985551
59	5.029110468
60	4.931301019
61	4.837197275
62	4.743437186
63	4.638374837
64	4.551429797
65	4.458840577
66	4.375028154
67	4.306986974
68	4.227393819
69	4.164083798
70	4.104087982
71	4.049118542
72	3.996092762
73	3.938755048
74	3.876287793
75	3.820247017
76	3.773477865
77	3.723669543
78	3.672033237
79	3.627915085
80	3.597185662
81	3.55659036
82	3.514042156
83	3.470828928
84	3.437785681
85	3.406340021
86	3.37379755
87	3.334926551
88	3.297263806
89	3.273460509
90	3.239588069
91	3.21298276
92	3.180248057
93	3.151909787
94	3.130147931
95	3.101056816
96	3.078244974
97	3.051234603
98	3.031304331
99	3.003493298
100	2.9751219
101	2.948378417
102	2.924705567
103	2.906544499
104	2.882030413
105	2.859467123
106	2.837251961
107	2.824755427
108	2.805283964
109	2.785854051
110	2.768166528
111	2.749437875
112	2.740795542
113	2.729243921
114	2.703665307
115	2.690227853
116	2.66958599
117	2.656205319
118	2.634277931
119	2.618077736
120	2.598422599
121	2.579982887
122	2.570052925
123	2.551549508
124	2.533926194
125	2.52001917
126	2.501877893
127	2.489419661
128	2.471417338
129	2.448711158
130	2.440664845
131	2.425123175
132	2.409577862
133	2.393631002
134	2.379842033
135	2.357708702
136	2.348326922
137	2.334304616
138	2.321151993
139	2.305731434
140	2.295912024
141	2.279176647
142	2.268084199
143	2.254797276
144	2.236753771
145	2.226971225
146	2.208362758
147	2.196372422
148	2.181939323
149	2.172692478
150	2.157431541
151	2.144653114
152	2.139732757
153	2.12913771
154	2.118103289
155	2.107930639
156	2.097633375
157	2.085080386
158	2.078030578
159	2.063884581
160	2.054109043
161	2.041788542
162	2.029394845
163	2.021529063
164	2.013591395
165	2.00730056
166	1.998931024
167	1.990206272
168	1.976935111
169	1.965338453
170	1.954490085
171	1.946000538
172	1.935043283
173	1.927792169
174	1.91947769
175	1.911522479
176	1.903979295
177	1.894397778
178	1.887031012
179	1.877244455
180	1.870133197
181	1.862677197
182	1.854991924
183	1.846045494
184	1.838560209
185	1.830244506
186	1.818250987
187	1.806855672
188	1.797716561
189	1.792359136
190	1.785972648
191	1.778881069
192	1.768470492
193	1.764379166
194	1.756754753
195	1.748795921
196	1.744541963
197	1.738529979
198	1.732691685
199	1.721995393
200	1.71590604
201	1.710506458
202	1.697279119
203	1.691556758
204	1.685493163
205	1.678077779
206	1.669032653
207	1.663069973
208	1.656491226
209	1.648650152
210	1.641707511
211	1.633458842
212	1.625810129
213	1.620481193
214	1.611821032
215	1.607795326
216	1.60234054
217	1.594366981
218	1.588051467
219	1.582934827
220	1.577154303
221	1.572922236
222	1.562810189
223	1.558982082
224	1.554505194
225	1.549429315
226	1.545399264
227	1.538063137
228	1.532482244
229	1.526769616
230	1.522318766
231	1.513865971
232	1.508747841
233	1.503826575
234	1.495878009
235	1.491427807
236	1.488834921
237	1.484849218
238	1.476956744
239	1.469283689
240	1.465112506
241	1.455678059
242	1.450058885
243	1.445346737
244	1.441047129
245	1.436732505
246	1.432891422
247	1.427414301
248	1.424079594
249	1.42104207
250	1.417134216
251	1.412475752
252	1.404681616
253	1.400513985
254	1.394371385
255	1.387305808
256	1.382997167
257	1.379276378
258	1.375243403
259	1.367631772
260	1.36146149
261	1.357976534
262	1.349909178
263	1.345174299
264	1.340376513
265	1.334823996
266	1.329199556
267	1.323671312
268	1.320872627
269	1.317247396
270	1.312031073
271	1.309365048
272	1.306600827
273	1.303655424
274	1.299722682
275	1.291793841
276	1.28692776
277	1.282794149
278	1.27895224
279	1.275362669
280	1.269800868
281	1.264942939
282	1.262436027
283	1.259304199
284	1.254126205
285	1.250691436
286	1.247124091
287	1.243592568
288	1.24056617
289	1.237454951
290	1.234351936
291	1.231158636
292	1.22665103
293	1.222863376
294	1.221170503
295	1.218773744
296	1.212295322
297	1.208176534
298	1.205984945
299	1.204150333
300	1.201263716
301	1.197922711
302	1.194583407
303	1.191737711
304	1.188587775
305	1.18655808
306	1.181801781
307	1.179865167
308	1.175685092
309	1.169593933
310	1.166246007
311	1.163134709
312	1.160214906
313	1.156090614
314	1.153651234
315	1.150964654
316	1.147868014
317	1.145574377
318	1.142926777
319	1.140622672
320	1.13652707
321	1.134180114
322	1.129374136
323	1.12655614
324	1.122933907
325	1.120344673
326	1.117159253
327	1.114560475
328	1.111791364
329	1.109417022
330	1.106839138
331	1.103098085
332	1.099764613
333	1.096500605
334	1.09520523
335	1.092581873
336	1.090746719
337	1.088464745
338	1.086618301
339	1.083448716
340	1.081274907
341	1.078889634
342	1.076348257
343	1.075238773
344	1.070929424
345	1.068750618
346	1.065848635
347	1.061719972
348	1.058179484
349	1.056240485
350	1.054069466
351	1.051406087
352	1.048444702
353	1.045832841
354	1.043887654
355	1.041514646
356	1.039397164
357	1.037590733
358	1.034676726
359	1.031788757
360	1.028698596
361	1.026010084
362	1.024371368
363	1.022476012
364	1.02123189
365	1.018448213
366	1.015974828
367	1.01328663
368	1.011253127
369	1.007360085
370	1.006153623
371	1.003635202
372	1.001564601
373	0.9983673992
374	0.9949780665
375	0.9928433288
376	0.9891519887
377	0.9876203634
378	0.9852699904
379	0.9832096137
380	0.9810760415
381	0.978981589
382	0.9755239513
383	0.9735218784
384	0.9721221631
385	0.9700777735
386	0.9681214779
387	0.9646009588
388	0.9627838066
389	0.9603565403
390	0.9583582301
391	0.9569461648
392	0.9547313701
393	0.9519775626
394	0.9501117063
395	0.9467553769
396	0.945273062
397	0.9427574542
398	0.9419710677
399	0.9403858553
400	0.9390933308
401	0.9372484361
402	0.9356530812
403	0.9341051499
404	0.9327318073
405	0.9313970665
406	0.9297543557
407	0.9280101444
408	0.9259101046
409	0.9243402007
410	0.9217742964
411	0.9203408759
412	0.9189431605
413	0.9167807065
414	0.9144967364
415	0.913687778
416	0.9115712832
417	0.9094083476
418	0.9080627302
419	0.9068670114
420	0.905522674
421	0.9044653577
422	0.9028032079
423	0.900846403
424	0.8983007764
425	0.8961547658
426	0.8949226832
427	0.8936821162
428	0.8921581406
429	0.8905203183
430	0.888020756
431	0.8862506827
432	0.8843175264
433	0.8822868957
434	0.8809237599
435	0.8791615303
436	0.8779843502
437	0.876095969
438	0.8747886766
439	0.873498285
440	0.8713902157
441	0.8698634569
442	0.8688843555
443	0.866790391
444	0.8660572368
445	0.8650646082
446	0.8639593484
447	0.8618951425
448	0.8609140573
449	0.8601060448
450	0.8584153325
451	0.8570371113
452	0.8558517053
453	0.8545891168
454	0.8537136722
455	0.8521119462
456	0.8510062191
457	0.8493458988
458	0.8476311096
459	0.8455931038
460	0.8439790172
461	0.842338411
462	0.8406230095
463	0.8387921847
464	0.8374528017
465	0.8363930464
466	0.8353066209
467	0.834704631
468	0.8327862983
469	0.8320026747
470	0.8314738529
471	0.8304860797
472	0.8295020868
473	0.8284653381
474	0.8271791723
475	0.826036117
476	0.82545027
477	0.8238489613
478	0.8224564631
479	0.8219093354
480	0.8205055832
481	0.8191277264
482	0.8174774682
483	0.8169763831
484	0.8150629095
485	0.8141346718
486	0.8127376005
487	0.8110342038
488	0.8100381258
489	0.808693936
490	0.8074886431
491	0.8061217056
492	0.8047723163
493	0.8039167987
494	0.8022457425
495	0.8008494023
496	0.799945972
497	0.7984161854
498	0.7968111034
499	0.7956541762
500	0.7947971056
501	0.7932638737
502	0.7924707401
503	0.7910940086
504	0.7888186195
505	0.787453675
506	0.7865423169
507	0.7856013671
508	0.7838164802
509	0.783218293
510	0.7819153686
511	0.7808890947
512	0.7791704643
513	0.778059017
514	0.7770871492
515	0.7755615528
516	0.7745981432
517	0.7733048692
518	0.7726482088
519	0.7714533675
520	0.7705406517
521	0.7690043725
522	0.7678572214
523	0.7666991376
524	0.7660526119
525	0.7652014961
526	0.7643479675
527	0.7630199199
528	0.7624886484
529	0.7614369361
530	0.7606023694
531	0.7594438669
532	0.7585187633
533	0.7577335414
534	0.7569567443
535	0.7561032958
536	0.755395001
537	0.7542603036
538	0.7531949012
539	0.7518391648
540	0.7504333479
541	0.7500370038
542	0.7489186447
543	0.7476487503
544	0.7470636289
545	0.746343362
546	0.7450977041
547	0.7441751391
548	0.7435641735
549	0.7423653797
550	0.7417363491
