iter	Passed	Remaining
0	13	13008
1	23	11626
2	33	10989
3	43	10725
4	53	10655
5	63	10517
6	74	10577
7	85	10620
8	95	10542
9	105	10435
10	115	10392
11	125	10312
12	136	10361
13	146	10345
14	158	10394
15	168	10350
16	179	10353
17	188	10298
18	198	10273
19	209	10260
20	219	10219
21	229	10201
22	239	10161
23	246	10011
24	252	9839
25	257	9652
26	262	9465
27	267	9270
28	270	9067
29	274	8880
30	278	8689
31	281	8507
32	284	8350
33	288	8194
34	291	8045
35	295	7901
36	298	7776
37	302	7654
38	305	7537
39	309	7418
40	312	7307
41	316	7215
42	319	7114
43	323	7019
44	326	6935
45	330	6858
46	334	6774
47	337	6699
48	341	6624
49	344	6549
50	348	6483
51	351	6414
52	355	6353
53	358	6286
54	362	6227
55	365	6167
56	369	6107
57	372	6050
58	375	5993
59	379	5945
60	382	5891
61	386	5843
62	389	5793
63	392	5746
64	396	5703
65	400	5661
66	403	5616
67	406	5571
68	410	5533
69	413	5492
70	416	5453
71	419	5411
72	422	5370
73	426	5339
74	430	5304
75	433	5270
76	436	5233
77	439	5198
78	443	5169
79	446	5138
80	450	5105
81	453	5074
82	456	5046
83	460	5017
84	463	4991
85	466	4962
86	470	4934
87	474	4912
88	477	4887
89	480	4861
90	484	4835
91	487	4809
92	491	4789
93	494	4766
94	497	4741
95	500	4716
96	504	4694
97	507	4672
98	510	4649
99	514	4626
100	517	4603
101	520	4584
102	524	4564
103	527	4544
104	530	4522
105	533	4502
106	537	4489
107	541	4470
108	544	4452
109	547	4432
110	551	4414
111	555	4404
112	558	4386
113	561	4367
114	565	4349
115	568	4335
116	572	4318
117	575	4301
118	578	4284
119	581	4266
120	585	4253
121	588	4237
122	592	4222
123	595	4205
124	598	4190
125	602	4176
126	605	4161
127	608	4146
128	611	4131
129	616	4122
130	619	4107
131	622	4093
132	625	4079
133	628	4064
134	632	4054
135	636	4041
136	639	4028
137	642	4015
138	646	4002
139	649	3990
140	653	3982
141	657	3969
142	660	3956
143	664	3947
144	667	3935
145	670	3923
146	674	3911
147	677	3899
148	681	3889
149	684	3878
150	687	3866
151	691	3855
152	694	3844
153	697	3834
154	701	3824
155	704	3812
156	707	3800
157	712	3797
158	716	3788
159	719	3778
160	722	3766
161	726	3758
162	729	3747
163	733	3736
164	736	3725
165	739	3714
166	743	3707
167	746	3697
168	749	3687
169	753	3677
170	756	3667
171	760	3659
172	763	3650
173	766	3640
174	769	3629
175	773	3621
176	776	3612
177	780	3602
178	783	3593
179	786	3583
180	790	3576
181	793	3567
182	796	3557
183	800	3548
184	803	3538
185	806	3531
186	810	3523
187	813	3513
188	816	3504
189	820	3496
190	823	3488
191	826	3479
192	830	3470
193	833	3461
194	836	3454
195	840	3445
196	843	3437
197	846	3428
198	849	3419
199	853	3412
200	856	3406
201	860	3398
202	863	3391
203	866	3382
204	870	3375
205	873	3367
206	877	3360
207	880	3352
208	883	3344
209	886	3336
210	890	3329
211	893	3321
212	896	3313
213	900	3306
214	903	3298
215	906	3291
216	909	3283
217	913	3275
218	916	3270
219	920	3262
220	923	3255
221	926	3248
222	930	3240
223	933	3234
224	937	3228
225	940	3222
226	944	3215
227	948	3210
228	951	3204
229	955	3199
230	958	3191
231	962	3186
232	965	3179
233	969	3173
234	972	3166
235	976	3160
236	979	3154
237	983	3148
238	986	3142
239	990	3136
240	994	3131
241	998	3126
242	1002	3121
243	1005	3114
244	1008	3107
245	1012	3101
246	1015	3095
247	1018	3089
248	1022	3082
249	1025	3076
250	1028	3070
251	1032	3063
252	1035	3057
253	1038	3050
254	1041	3044
255	1045	3038
256	1048	3032
257	1052	3025
258	1055	3018
259	1058	3012
260	1061	3006
261	1065	3000
262	1068	2993
263	1071	2987
264	1075	2982
265	1078	2975
266	1081	2969
267	1084	2962
268	1087	2955
269	1091	2951
270	1094	2945
271	1098	2939
272	1101	2932
273	1104	2926
274	1108	2922
275	1112	2917
276	1115	2911
277	1118	2905
278	1122	2900
279	1125	2894
280	1128	2888
281	1131	2881
282	1135	2875
283	1139	2871
284	1143	2867
285	1146	2862
286	1149	2856
287	1153	2851
288	1157	2846
289	1160	2841
290	1163	2835
291	1167	2829
292	1171	2825
293	1174	2820
294	1177	2814
295	1180	2808
296	1184	2803
297	1187	2798
298	1191	2792
299	1194	2787
300	1197	2781
301	1201	2776
302	1204	2770
303	1207	2765
304	1210	2759
305	1213	2753
306	1217	2748
307	1220	2743
308	1224	2737
309	1227	2732
310	1230	2726
311	1234	2722
312	1238	2717
313	1241	2712
314	1244	2706
315	1248	2702
316	1252	2697
317	1255	2692
318	1258	2687
319	1261	2681
320	1265	2677
321	1269	2672
322	1272	2667
323	1275	2662
324	1279	2657
325	1282	2652
326	1286	2647
327	1289	2641
328	1292	2636
329	1296	2631
330	1299	2625
331	1302	2621
332	1305	2615
333	1308	2609
334	1312	2605
335	1315	2599
336	1318	2594
337	1322	2589
338	1325	2584
339	1329	2580
340	1332	2575
341	1335	2569
342	1338	2564
343	1342	2559
344	1345	2555
345	1349	2550
346	1352	2545
347	1355	2540
348	1360	2537
349	1363	2532
350	1366	2527
351	1370	2522
352	1373	2517
353	1377	2512
354	1380	2508
355	1383	2503
356	1387	2498
357	1390	2493
358	1400	2501
359	1410	2507
360	1421	2516
361	1431	2523
362	1440	2528
363	1450	2534
364	1460	2540
365	1469	2546
366	1479	2552
367	1488	2556
368	1498	2562
369	1507	2567
370	1516	2571
371	1527	2579
372	1536	2582
373	1546	2588
374	1555	2593
375	1565	2597
376	1574	2602
377	1583	2605
378	1594	2613
379	1604	2617
380	1615	2624
381	1626	2631
382	1632	2630
383	1639	2630
384	1646	2629
385	1653	2629
386	1659	2628
